,number,html_url,full_name,stars,refactoring review taxonomy,Explination,Evidence (exact reviewer comment),Why it was rejected (if applicable),
3.16E+09,127,https://github.com/autumn-library/autumn/pull/127,autumn-library/autumn,104,Refactoring → Internal Quality Managment→ Change dependency,"The reviewer is discussing cyclic dependencies and suggesting changes to how constructors handle injected dependencies. This focuses on improving internal code architecture, initialization order, and class-level dependency design — all under internal quality and dependency management refactoring.",,This pull request is still a work in progress(Draft PR),
3.27E+09,51530,https://github.com/Azure/azure-sdk-for-net/pull/51530,Azure/azure-sdk-for-net,5827,Quality – Internal quality attribute; Refactoring – Refactoring correctness; Integration – API management; Objective – Scope change; Management – Change dependency,"Reviewers focused on code cleanliness and test quality (internal quality), ensuring proper isolation and non-duplication in tests (refactoring correctness), simplifying API usage (API management), redirecting the design approach (scope change), and acknowledging cross-project version dependencies (change dependency).",,Closed — superseded by new design and awaiting dependency alignment..(i don't know if that count as rejected or no ),
3.28E+09,434,https://github.com/facioquo/stock-indicators-python/pull/434,facioquo/stock-indicators-python,324,Quality → Internal Quality Attribute; Testing → Poor Test Quality; Management → Change Dependency,"Human reviewers focused on fixing static-analysis warnings (Internal Quality Attribute), ensuring test logic remains unchanged (Poor Test Quality), and coordinating CI/Codacy dependencies (Change Dependency).","Quality → Internal Quality Attribute: “Fix Codacy issues.” Testing → Poor Test Quality: “Address failing unit tests by fixing source code, unless the test rig itself need fixes. None of the logical aspects of tests should change.” Management → Change Dependency: “Check for and fix reasons for any CI check failures… resolve all build, lint, and testing issues, regardless of scope.”",the Pr is still Opened,
3.14E+09,9826,https://github.com/dotnet/aspire/pull/9826,dotnet/aspire,4723,Quality → Internal Quality Attribute; Testing → Poor Test Quality; Management → Change Dependency,Quality: Reviewer is asking to fix static analysis/style problems → improves internal maintainability. Testing: Reviewer demands fixing tests without altering expected behavior → poor test quality. Management: Reviewer emphasizes fixing CI/lint/test pipelines → shows dependency between code and automated systems.,"Quality: “Fix Codacy issues.” Testing: “Address failing unit tests by fixing source code… none of the logical aspects of tests should change.” Management: “Check for and fix reasons for any CI check failures… resolve all build, lint, and testing issues, regardless of scope.”",Closed Pr,
3.20E+09,4435,https://github.com/tesseract-ocr/tesseract/pull/4435,tesseract-ocr/tesseract,68523,Quality → Coding Convention; Objective → Unknown Benefit; Objective → Potential Side Effect,"Comments request coding style improvements (type choice, auto usage), question the measurable benefit of the refactor, and discuss possible performance side effects.","Quality → Coding Convention: “Maybe using size_t instead of int would be better and make the type cast unnecessary.” / “Use auto.” Objective → Unknown Benefit: “And how would old and new code compare with a small number of scripts, for example 10?” Objective → Potential Side Effect: “The break even between linear search and hash lookup is around n=10… for a lookup hash created once and read often, a perfect hash is maybe faster…”",Draft,
3.25E+09,1996,https://github.com/microsoft/Olive/pull/1996,microsoft/Olive,2035,Objective → Feature Support,Reviewer is requesting additional functionality beyond the current refactoring — this fits the taxonomy subcategory Feature Support under Objective.,"• “Let’s add --save_config_file option also.” • “Let’s add --block_size command line option. It will accept integer value…” • “Let’s add --modality command line option. The valid values are ‘text’, ‘vision’.”",Merged,
3.08E+09,669,https://github.com/openops-cloud/openops/pull/669,openops-cloud/openops,908,Quality → Coding Convention; Objective → Feature Support,"Reviewers requested refactoring code to remove unnecessary conditionals, rename files to follow naming style, delete obsolete files → Coding Convention. They also suggested functional behavior (hosting path for redirect file), which adds or modifies expected behavior → Feature Support.","Quality → Coding Convention: “pass queryParams.test = context.run.isTest, no need for the IF.” / “rename to request-action-redirect.html.” / “delete this old file.” / “you’re not calling the new request-action-redirect.html.” Objective → Feature Support: “can assume that it’s hosted on static.openops.com/request-action-redirect.html.”",Closed ,
3.14E+09,2043,https://github.com/spcl/dace/pull/2043,spcl/dace,544,Objective → Unclear Goal; Objective → Unknown Benefit; Refactoring → Domain Constraint,"Reviewers questioned whether the refactoring direction was justified and aligned with goals (Unclear Goal). They also asked for justification of switching to ScheduleTrees and whether it provides real benefits (Unknown Benefit). They pointed out domain-specific constraints such as handling Fortran intrinsics, pointer resolution, and schedule tree specification — this fits Domain Constraint.",Objective → Unclear Goal: “Please address comment on Python frontend pipeline. Otherwise looks good.” / “We should first finalize the ScheduleTree-related design/implementation documents.” Objective → Unknown Benefit: “What are the benefits of ScheduleTrees here? Do we want to move certain optimization passes to ScheduleTrees as suggested by the document?” Refactoring → Domain Constraint: “Which transformations… need to be migrated to become part of the schedule tree? For example intrinsics must be processed on the Fortran side — how and where should pointer resolution be handled?”,Rejected,
3.20E+09,254224,https://github.com/microsoft/vscode/pull/254224,microsoft/vscode,175171,Refactoring → Refactoring correctness,The reviewer points out a logical error introduced by the refactoring — the condition incorrectly assumes stickyCount === 0 implies it is not a StickyEditorGroupModel. This directly concerns correctness of refactored logic.,"Refactoring → Refactoring correctness: “StickyEditorGroupModel can also have a stickyCount of 0, so this check is not good.”",Closed (Fix merged by author; PR closed by reviewer),
3.26E+09,4786,https://github.com/benwbrum/fromthepage/pull/4786,benwbrum/fromthepage,174,Quality → Code Smell; Management → Change Dependency,"The reviewer questioned whether unused methods existed — this identifies dead code, which is a form of code smell. The request to merge another branch due to test failure fixes indicates change dependency (coordination of changes across branches).",Quality → Code Smell: “Were these methods dead code?” (benwbrum) Management → Change Dependency: “@copilot Please merge development into copilot/fix-632 since that contains fixes for test failures.” (benwbrum),Merged,
3.28E+09,1275,https://github.com/justtrackio/gosoline/pull/1275,justtrackio/gosoline,106,Quality → Internal Quality Attribute; Testing → Test Quality,"Quality → Internal Quality Attribute: These comments focus on naming consistency, API clarity, and internal code structure — all part of internal quality concerns according to the taxonomy. Testing → Poor Test Quality: Requests to fix test structure and lint errors reflect issues in test correctness and quality, matching ""Poor test quality"" in the Testing category.","Attribute; Testing → Test Quality Quality → Internal Quality Attribute: “This func should be called Chan instead.” / “Rename the variable from fileCh to readCh for better consistency.” / “Use Object instead of BlobFileInfo.” / “Just pass context.isTest, no need for the IF.” Testing → Test Quality: “Only adjust the test file, nothing else.” / “Golangci-lint complained about these issues, please fix them.”",CLOSED,
3.20E+09,7383,https://github.com/netlify/cli/pull/7383,netlify/cli,1708,Quality → Internal Quality Attribute;<br>Refactoring → Refactoring Correctness,"Reviewers point out type inconsistencies and request cleaner, safer code structure without altering behavior, which aligns with Internal Quality Attribute. They also point out that the refactoring caused type-breaking changes, which fits Refactoring Correctness (ensuring refactoring does not introduce errors).","Quality → Internal Quality Attribute: “Let’s avoid behavioural changes here, so also check for truthiness.” / “This introduced several type errors.” / “Lots of type errors here. I think an enum or a union of literal strings is needed.” Refactoring → Refactoring Correctness: “This introduced several type errors, you may need to fix SiteInfo itself?”",Closed without merge (unmerged commits),
3.07E+09,1406,https://github.com/julep-ai/julep/pull/1406,julep-ai/julep,5629,Quality → Coding Convention,"Reviewer points out a lack of consistency in how type definitions and code changes were applied, asking if manual updates are required — this reflects adherence to coding standards, not missing documentation.",“Should these be manually updated??”,"Open (not merged, unresolved conflicts)",
3.09E+09,3106,https://github.com/huggingface/huggingface_hub/pull/3106,huggingface/huggingface_hub,2806,Quality → Internal Quality Attribute,"“While the code is correct and does what we want, I don’t find it more readable (it de-duplicates the try/except/paths.unlink() logic at the cost of one level of abstraction more).”","“While the code is correct and does what we want, I don’t find it more readable (it de-duplicates the try/except/paths.unlink() logic at the cost of one level of abstraction more).”",Closed without merge (unmerged commits),
3.21E+09,2509,https://github.com/gardener/dashboard/pull/2509,gardener/dashboard,212,Quality → Internal Quality Attribute,"The reviewer questions unused or unclear parameter handling — this reflects concerns about code clarity, maintainability, and correctness of internal structure, which fits Internal Quality Attribute in the Quality category.","“Here a signal is passed as options, however I do not see how this was used in the previous code. We should double check this is not used anymore.”",Closed without merge (unmerged commits),
3.10E+09,1531,https://github.com/LayerZero-Labs/devtools/pull/1531,LayerZero-Labs/devtools,155,Refactoring → Domain Constraint Quality → Internal Quality Attribute,- Domain Constraint: Reviewer says the change risks causing incorrect behavior in production due to metadata-specific domain rules. - Internal Quality Attribute: Reviewer wants better configurability and explicitness to improve maintainability / reliability.,“Metadata has occasional problems… silently falling back to ULN301 seems risky. Please implement a clear config/flag to make ULN301 an explicit user choice.”,Closed / Not Merged,
3.10E+09,2536,https://github.com/Skyvern-AI/skyvern/pull/2536,Skyvern-AI/skyvern,13976,,,,,
3.07E+09,4061,https://github.com/promptfoo/promptfoo/pull/4061,promptfoo/promptfoo,7809,Refactoring → Refactoring Correctness,"Reviewer questions the correctness/necessity of the refactor — asking why such a major change is applied, indicating concern about whether the refactor is justified or safe.",“This is a significant change. What is its motivation?”,Closed without merge (Rejected),
3.16E+09,3350,https://github.com/GitbookIO/gitbook/pull/3350,GitbookIO/gitbook,28156,Quality → Internal Quality Attribute (Complexity & Clarity),"The reviewer is criticizing increased complexity and reduced clarity — this directly concerns internal code quality attributes such as maintainability, clarity, and complexity.",“it creates more complexity and less clarity (impacting DX).”,Closed without merge (Rejected),
3.16E+09,1149,https://github.com/Portkey-AI/gateway/pull/1149,Portkey-AI/gateway,9045,Quality → Coding Convention; Quality → Internal Quality Attribute,Reviewer points out incorrect schema format — this aligns with Coding Convention (violating standard JSON schema conventions) and Internal Quality Attribute (code clarity & correctness).,"“type: 'json' is not a valid JSON schema key, please use 'type': 'object'”",Closed (Not Merged),
3.18E+09,1406,https://github.com/marin-community/marin/pull/1406,marin-community/marin,343,No review activity,,,merged ,
3.20E+09,1361,https://github.com/giselles-ai/giselle/pull/1361,giselles-ai/giselle,154,No review activity,,,,
3.16E+09,93854,https://github.com/getsentry/sentry/pull/93854,getsentry/sentry,41579,Objective → Potential Side Effect,Reviewer warns that refactoring may introduce unintended runtime issues,“This could cause a race condition between the DB and API.”,Closed without merge,
3.27E+09,61394,https://github.com/StarRocks/starrocks/pull/61394,StarRocks/starrocks,10390,Quality → Internal Quality Attribute (efficiency) Refactoring → Refactoring Correctness,- Reviewer suggests improving memory/data handling → Internal Quality Attribute (performance/efficiency). - Reviewer questions correctness of behavior/path handling → Refactoring Correctness (ensuring correct functionality after refactor).,“can we use Slice to avoid copy?” “unlikely?” “What is the behavior if the input path is '$.a.b[123]'?”,Merged,
3.20E+09,7638,https://github.com/langfuse/langfuse/pull/7638,langfuse/langfuse,14483,Management → Review guideline violation,"The reviewer is saying the way feedback is being handled is wrong — feedback should be logged as tickets instead of random PR comments. This means the review process/guidelines are not being followed properly, which fits Review guideline violation under Management.","“this is very off, i think logging tickets for these issues (github issues or linear) is the better way as we can then manage them in cursor while wip”",Still open,
3.19E+09,10623,https://github.com/vercel/turborepo/pull/10623,vercel/turborepo,28307,Refactoring → Potential side effect,Reviewer is concerned the refactoring may introduce performance or behavioral side effects without validation.,“We cannot be making changes like this without a benchmark.”,Rejected ,
3.20E+09,432,https://github.com/laude-institute/terminal-bench/pull/432,laude-institute/terminal-bench,317,Objective → Potential side effect,The reviewer is concerned that this refactoring (making methods async) may cause unintended behavior or extra process creation → possible side effects of the refactoring.,“Do all the helper methods need to be async? For example do we spin up a whole new process when we run _get_user?”,Rejected ,
3.22E+09,7825,https://github.com/langfuse/langfuse/pull/7825,langfuse/langfuse,14483,,,,this pr does not talk about refactoring ,
2.84E+09,3925,https://github.com/onyx-dot-app/onyx/pull/3925,onyx-dot-app/onyx,13231,Quality → Technical Debt ,Reviewer suggests improving maintainability by removing leftover TODO comments and renaming variables properly now → This relates to internal quality and clean code structure.,“Why are these TODOs? Can we just do them now?,rejected ,
2.84E+09,3910,https://github.com/box/box-ui-elements/pull/3910,box/box-ui-elements,546,Refactoring → Refactoring correctness; Quality → Coding convention,Reviewer doubts necessity of change; reviewer asks to keep code style clean.,“I don't think you need to remove this…” ; “Can you remove this empty line?”,Rejected ,
,,,,,,,,,
3.08E+09,21404,https://github.com/calcom/cal.com/pull/21404,calcom/cal.com,37399,Quality → Code smell; Quality → Lack of documentation,"Reviewer identified unnecessary code and redundant comments, indicating minor code smell and poor clarity in code documentation.",“Can we not just remove this comment and the if statement?”; “Can we not just remove this completely?”,Closed (unmerged commits),
3.00E+09,120,https://github.com/appdotbuild/agent/pull/120,appdotbuild/agent,351,No review activity.,,,,
3.05E+09,21183,https://github.com/calcom/cal.com/pull/21183,calcom/cal.com,37399,Not a refactoring PR.,,,,
3.22E+09,22442,https://github.com/calcom/cal.com/pull/22442,calcom/cal.com,37399,Integration → API management,"Reviewer flags incorrect API field usage when integrating with Deel; concerns are about correct external API parameters, not refactoring quality.",“This is wrong. As per thier docs we need to pass recipient_profile_id (The hris profile id of the recipient) instead of it. So pls fix it”,Open,
3.24E+09,63378,https://github.com/airbytehq/airbyte/pull/63378,airbytehq/airbyte,19011,Refactoring → Behavior preservation; Integration → API management,"Reviewer asks to keep the previous return type to avoid breaking existing contracts—i.e., preserve behavior and API compatibility during the refactor.","“Is there a way to still return a dagger.Container instance for maintaining previous type contracts? Aka, can we wrap our built image in the Dagger class?”",Closed,
3.05E+09,21225,https://github.com/calcom/cal.com/pull/21225,calcom/cal.com,37399,Refactoring → Refactoring correctness; Refactoring → Behavior preservation,"Reviewer questions the removal of imports and functionality, implying concern that the refactor might have broken existing logic or removed necessary dependencies.",“Why are we removing them – also can’t see them in the new code added.”,Closed (unmerged commits),
2.88E+09,3959,https://github.com/box/box-ui-elements/pull/3959,box/box-ui-elements,546,Quality → Lack of documentation; Quality → Code smell,"The PR removes unnecessary comments and empty lines to clean up the codebase—this improves readability and eliminates redundant documentation or clutter, aligning with code quality and style conventions.","(No explicit reviewer text beyond approval, but commit message states “refactor(content-sidebar): remove header comments and empty lines”)",Merged,
2.88E+09,3960,https://github.com/box/box-ui-elements/pull/3960,box/box-ui-elements,546,Quality → Coding convention; Refactoring → Refactoring correctness; Quality → Lack of documentation,"Reviewer ensured adherence to naming conventions, proper file extensions, and removal of redundant comments/empty lines — maintaining consistency and correctness during the TypeScript refactor.",“Please rename AppActivity.js to AppActivity.js.flow.” / “Delete the original index.js file.” / “You don’t need this comment.” / “Please delete the empty lines in this JSX return statement.”,Closed,
2.88E+09,3961,https://github.com/box/box-ui-elements/pull/3961,box/box-ui-elements,546,Quality → Coding convention; Refactoring → Refactoring correctness; Quality → Code smell,"Reviewer focused on code cleanup and consistency—ensuring proper file structure (.js.flow), correct import ordering, and removal of empty lines. These changes improve readability and maintain consistent project standards without altering behavior.",“You need to create a .js.flow file for this.” / “Please remove this empty line. Do not include any other change besides remove this line here at line 456.” / “move this import TaskError from './TaskError'; import after the PrimaryButton import.”,Closed,
2.88E+09,3962,https://github.com/box/box-ui-elements/pull/3962,box/box-ui-elements,546,Quality → Coding convention; Refactoring → Refactoring correctness,The reviewer suggested small TypeScript-related adjustments for consistency and correctness — ensuring the refactor adheres to style and preserves intended functionality.,"“Can you update the type annotation to match other components?” / “Looks good otherwise, just fix the typing.” (paraphrased from review discussion)",Merged,
2.88E+09,3963,https://github.com/box/box-ui-elements/pull/3963,box/box-ui-elements,546,Quality → Coding convention; Refactoring → Refactoring correctness,Reviewer ensures that TypeScript export style follows project conventions and that redundant export statements are removed—focusing on correctness and consistency during the TypeScript refactor.,“then delete the exported line below” / “Suggested change: export interface VersionProps { … }”,Closed,
2.88E+09,3964,https://github.com/box/box-ui-elements/pull/3964,box/box-ui-elements,546,Quality → Coding convention; Refactoring → Refactoring correctness; Refactoring → Behavior preservation,"Reviewer focused on ensuring consistent TypeScript conventions (e.g., inferred types, import ordering) and correctness of refactored components. Comments show attention to proper naming, type inference, and minimal functional deviation from original code.",“You don’t need the type here since TypeScript can infer this.” / “nit: can you swap this order?” / “You should call this ErrorComponentProps since DefaultError doesn’t take props.”,Open,
2.88E+09,3965,https://github.com/box/box-ui-elements/pull/3965,box/box-ui-elements,546,Refactoring → Refactoring correctness; Quality → Coding convention; Refactoring → Behavior preservation,"Reviewer focused on ensuring TypeScript conversion maintained correctness and followed coding conventions—addressing unnecessary nulls, consistent imports, proper hook usage (useIntl), and file cleanup.","“You need to delete the original JS files.” / “You’ll need a flow file for this.” / “remove this empty line.” / “use useIntl instead of injectIntl.” / “make these optional instead of null.” / “Keep this empty line.” / “Revert this change. Only revert this specific file. Do not do anything else, please.”",Draft,
2.88E+09,3966,https://github.com/box/box-ui-elements/pull/3966,box/box-ui-elements,546,Refactoring → Refactoring correctness; Refactoring → Behavior preservation; Quality → Coding convention,"Reviewer focused on ensuring correct type usage and file maintenance during TypeScript conversion, emphasizing consistency with React Router’s typing and avoiding unnecessary nulls.","“You need to keep this file and rename it to index.js.flow.” / “should Location from react-router as well? or this correct?” / “make this optional instead of null.” / “Devin, do not make changes in response to this comment. Only respond to this thread. Does react-router-dom provide any types to use for match?”",Open,
2.88E+09,3967,https://github.com/box/box-ui-elements/pull/3967,box/box-ui-elements,546,Refactoring → Behavior preservation; Quality → Coding convention; Refactoring → Refactoring correctness,"Reviewer repeatedly asked to revert logic and match the original Flow implementation, ensuring that TypeScript conversion does not alter functionality and follows project conventions.",“You shouldn’t need to do this. Please revert the code to what is in the flow file.” / “revert this logic to what is in the flow file.” / “You don’t need this comment.”,Closed,
2.88E+09,3968,https://github.com/box/box-ui-elements/pull/3968,box/box-ui-elements,546,Quality → Coding convention; Refactoring → Refactoring correctness,"Reviewer focused on code organization and file maintenance during TypeScript conversion—ensuring .js.flow compatibility, maintaining import order consistency, and preserving structure from the original JS files.",“You need to create a .js.flow file.” / “Keep this file and rename to .js.flow.” / “Suggested change: reorder import lines.”,Open,
2.88E+09,3969,https://github.com/box/box-ui-elements/pull/3969,box/box-ui-elements,546,Refactoring → Refactoring correctness; Testing → Poor test quality; Integration → Build failure,"Reviewer discussed Flow type issues and CI failures during TypeScript migration, addressing both correctness in type syntax and build/test reliability.","“What is needed to fix the flow check error?” / “Why is the flow check failing in Circle CI pipeline?” / “If that’s the case, then update this branch from what is currently in master.”",Open,
2.88E+09,3970,https://github.com/box/box-ui-elements/pull/3970,box/box-ui-elements,546,Refactoring → Refactoring correctness,Reviewer instructed deletion and reversion of unnecessary or incorrect file changes to maintain clean migration integrity.,“delete this file” / “Revert the changes in this file”,Open,
3.27E+09,831,https://github.com/elementary-data/dbt-data-reliability/pull/831,elementary-data/dbt-data-reliability,452,No review activity.,,,,
2.87E+09,3948,https://github.com/box/box-ui-elements/pull/3948,box/box-ui-elements,546,Refactoring → Behavior preservation; Refactoring → Refactoring correctness; Quality → Coding convention; Testing → Poor test quality; Management → Change dependency,"Reviewer asks to revert code and config to keep prior behavior, fix refactor mistakes, follow project style, correct weak/incorrect tests, and avoid unapproved dependency changes.",“restore this file”; “switch from COLOR_999 back to blueprint’s token Gray50”; “remove className prop”; “update above two lines to … / update to const crumbs = …”; “do not update @testing-library/jest-dom and @types/testing-library__jest-dom dependency”; “restore the change made in jest-setup.ts file”,Closed (Rejected),
2.87E+09,3950,https://github.com/box/box-ui-elements/pull/3950,box/box-ui-elements,546,Quality → Coding convention; Refactoring → Refactoring correctness; Testing → Poor test quality,"Reviewer enforces message/props placement and import style (coding conventions), asks to delete legacy files and update imports to keep the refactor correct, and requests fixes to tests/mocks to improve test quality.","“update the minusButtonLabel, plusButtonLabel and sliderLabel prop above to …”; “Add following code into messages files”; “remove this jest.mock()”; “update this to expect(onChange).toHaveBeenCalledTimes(1);”; “delete the original file GridViewSlider.js”; “update line 3 and line 4 into import GridViewSlider, { GridViewSliderProps } from '../GridViewSlider'”; “delete this file”",Open,
3.06E+09,21262,https://github.com/calcom/cal.com/pull/21262,calcom/cal.com,37399,Testing → Poor test quality; Integration → Build failure,"Reviewers flagged failing type checks and unit tests, indicating test problems and a broken CI/build pipeline triggered by the PR.","“We have type checks failing… are you sure it's not due to this PR changes” • “DevinAI, Please fix the type checks and unit tests.”",Closed,
3.00E+09,20706,https://github.com/calcom/cal.com/pull/20706,calcom/cal.com,37399,Refactoring → Behavior preservation,"The reviewer repeatedly pointed out that the new const declarations were redundant inside function scopes, advising to revert unnecessary refactorings that didn’t improve functionality or readability.",“This change is not necessary since it’s inside the scope of the function.” (repeated across multiple files),Closed,
3.15E+09,54,https://github.com/reeze/php-leveldb/pull/54,reeze/php-leveldb,241,Refactoring → Behavior Preservation,"Reviewer repeatedly noted redundant code, unnecessary variable introduction, and potential behavioral risk from added destructor calls. Changes were considered unjustified or duplicative of existing logic.","“Not understanding this change”; “This change seems pointless, the variable isn’t used anywhere else”; “This change seems redundant, num_ranges is inferred from the size of the input array anyway”; “Not convinced this is actually necessary, the dtor shouldn’t be called multiple times”; “This is unnecessary, we overwrite iterator->current below anyway”; “This is probably redundant, I’m not aware of any failure conditions for creating a comparator.”",Closed,
3.28E+09,2786,https://github.com/liam-hq/liam/pull/2786,liam-hq/liam,4194,Integration → Configuration issue,Reviewers identified and resolved a configuration issue involving module import/export paths that caused a server–client integration error.,"“When I add hooks to index.ts, I get an error that the ‘server component is using hooks’. To work around this, it was necessary to isolate the re-export.”; “With the following modification, import is no longer possible via src.”",Merged,
3.28E+09,22814,https://github.com/calcom/cal.com/pull/22814,calcom/cal.com,37399,No review activity.,,,,
3.00E+09,1380,https://github.com/liam-hq/liam/pull/1380,liam-hq/liam,4194,Management → No review activity,"There were no human code review comments—only automated bot activity (e.g., CI/CD, security scans, and AI assistant actions). This falls under “No review activity.”","“(No human reviewer comments; only bot actions such as deployments, automated checks, and CI updates)”",Merged,
3.19E+09,2143,https://github.com/faros-ai/airbyte-connectors/pull/2143,faros-ai/airbyte-connectors,121,Refactoring → Refactoring correctness; Refactoring → Domain constraint; Quality → Coding convention; Management → Review guideline violation,"Reviewer focused on enforcing correct refactoring boundaries (refactoring correctness), adherence to domain-specific constraints by isolating logic to proper files, enforcing naming and structural standards (coding convention), and ensuring review compliance by restricting changes to approved files.","“Move IncrementalStreamBase to its own file”; “Don’t make any changes in this file!”; “Can you make this class parameterized? <TState, TRecord, TSlice>”; “Now refactor the faros_commits GitLab stream”; “DO NOT MAKE ANY CHANGES IN GITLAB TO ANY FILE OTHER THAN sources/gitlab-source/src/streams/faros_commits.ts”",Partially Verified / Not Fully Merged,
3.20E+09,712,https://github.com/airbytehq/PyAirbyte/pull/712,airbytehq/PyAirbyte,281,Quality → Code smell; Quality → Internal quality attribute,Reviewer focused on improving code robustness and type precision—identifying minor code smells and enhancing internal quality through stricter typing and safer conditional logic.,"“Slightly more robust: if filename.endswith('.yaml') or filename.endswith('.yml'):”; “Suggested change: use Literal['*', 'suggested'] instead of str”",Merged,
2.87E+09,3944,https://github.com/box/box-ui-elements/pull/3944,box/box-ui-elements,546,Quality → Coding convention; Quality → Code smell; Refactoring → Refactoring correctness,"Reviewer emphasized consistent ordering and formatting practices, removal of unnecessary edits, and maintenance of correct file headers—issues aligned with coding conventions and correctness during refactoring.","“Can you sort this?”; “Please revert this change”; “Please delete this comment, you don’t need the header comment at the top of the file”; “Why did you make this change?”; “Can you sort these props alphabetically?”",Merged,
3.27E+09,22768,https://github.com/calcom/cal.com/pull/22768,calcom/cal.com,37399,Objective → Feature support,"The reviewer expressed satisfaction with incremental improvements, indicating support for new or enhanced functionality being integrated progressively.",“Happy with this step by step.”,Merged,
2.99E+09,20691,https://github.com/calcom/cal.com/pull/20691,calcom/cal.com,37399,Quality → Code smell; Refactoring → Refactoring correctness,Reviewer focused on maintaining proper validation messaging and preserving strict typing—both addressing maintainability and correctness concerns related to refactoring changes.,"“Why remove the message?”; “Do we not replace it with something like error: at least?”; “We need the types to be as they are, do not use any as a type.”",Merged,
3.16E+09,21949,https://github.com/calcom/cal.com/pull/21949,calcom/cal.com,37399,Integration → API management,"Reviewer requested switching the database query library from Prisma to Kysely to maintain consistent API/data access patterns across the project, an integration-level concern.",“DevinAI use Kysely instead of Prisma.”,Merged,
2.83E+09,38957,https://github.com/appsmithorg/appsmith/pull/38957,appsmithorg/appsmith,37596,Refactoring → Behavior preservation; Testing → Lack of coverage,Reviewer emphasized maintaining required application fields and preserving test cases to ensure the refactor didn’t break existing behavior or coverage.,"“This field is required for customJsLibs when the application is published, please get this field back.”; “No need to remove it from jsons as it would also be a test that even though there are exports, the import side handles it perfectly.”",Merged,
